code,name
"1","Pintura"
"2","Escultura"
"3","Grabado"
"4","Dibujo"
"5","Fotografía"
"6","Artes aplicadas (diseño gráfico, industrial, moda, decoración)"
"7","Artes decorativas (cerámica, joyería, muebles)"
"8","Antigüedades"
"9","Articulos Coleccionables"
"99","Otros"
