code,name
"1","Arrendamiento"
"2","Asesoría de negocio"
"3","Capacitación"
"4","Compras"
"5","Contabilidad"
"6","Investigación"
"7","Mantenimiento / Limpieza"
"8","Manufactura"
"9","Marketing / Publicidad / Promotoría"
"10","Recursos Financieros (diferente a Contabilidad)"
"11","Recursos Humanos"
"12","Recursos Materiales"
"13","Seguridad y Vigilancia"
"14","Servicios Legales"
"15","Tecnologías de la Información"
"16","Transporte / Distribución"
"99","Otro"
