code,name
"1","Metales Preciosos - Oro"
"2","Metales Preciosos - Plata"
"3","Metales Preciosos - Platino"
"4","Piedras Preciosas - Aguamarinas"
"5","Piedras Preciosas - Diamantes"
"6","Piedras Preciosas - Esmeraldas"
"7","Piedras Preciosas - Rubíes"
"8","Piedras Preciosas - Topacios"
"9","Piedras Preciosas - Turquesas"
"10","Piedras Preciosas - Zafiros"
"11","Joyas"
"12","Relojes"
