code,name
"1","Hipódromo"
"2","Galgódromo"
"3","Frontones"
"4","Centros de Apuesta Remotas (libros foráneos)"
"5","Salas de Sorteos de números"
"6","Cruce de apuestas en ferias"
"7","Carreras de caballos en escenarios temporales"
"8","Peleas de gallos en escenarios temporales"
"9","Sorteos"
"10","Concursos"
