code,name
"1","Administrador único"
"2","Presidente del consejo de administración u órgano equivalente"
"3","Otro miembro del consejo de administración u órgano equivalente"
"4","Comisario o Miembro del consejo de vigilancia u órgano equivalente"
"5","No aplica"
